# Jede Zeile enthaelt einen Wert xi und einen Wert yi. 
# Die Zahlen sind durch Tabulator Zeichen getrennt.
# xi	yi
-1.20857	0.974792
-1.2049		0.976515
-1.19696	0.977973
-1.18588	0.980293
-1.18044	0.982202
-1.17848	0.981927
-1.17476	0.982631
-1.16185	0.987245
-1.15288	0.984763
-1.15006	0.986735
-1.14931	0.986688
-1.14642	0.990443
-1.13974	0.989017
-1.13077	0.992144
-1.12616	0.991462
-1.12212	0.992086
-1.11123	0.992223
-1.09649	0.993853
-1.09655	0.995136
-1.08767	0.995373
-1.08287	0.998548
-1.07802	0.995568
-1.06465	0.999314
-1.06125	0.998521
-1.04732	0.998509
-1.03637	0.998279
-1.02375	0.998976
-1.01903	0.999158
-1.01568	0.998531
-1.01301	1.00144
-0.98984	0.999122
-0.984655	0.998645
-0.969766	0.999573
-0.966606	0.999494
-0.945412	0.997193
-0.937938	0.997656
-0.930556	0.997869
-0.896887	0.996058
-0.893568	0.994157
-0.887842	0.994885
-0.882179	0.991774
-0.868292	0.991454
-0.865645	0.991708
-0.862378	0.988787
-0.844171	0.988949
-0.819219	0.984059
-0.801025	0.98087
-0.800216	0.982687
-0.796946	0.981331
-0.770519	0.975221
-0.755805	0.972868
-0.755533	0.971231
-0.745171	0.969896
-0.743841	0.971729
-0.738627	0.971182
-0.733767	0.968727
-0.711914	0.962185
-0.706978	0.961951
-0.6853		0.9556
-0.675211	0.953303
-0.660563	0.950589
-0.64008	0.945433
-0.597797	0.931301
-0.593033	0.930269
-0.58525	0.925944
-0.580839	0.924584
-0.574282	0.922705
-0.572932	0.923459
-0.567732	0.919848
-0.564883	0.919394
-0.559392	0.918108
-0.539724	0.910391
-0.536677	0.908919
-0.53691	0.908647
-0.532702	0.907167
-0.520338	0.902351
-0.515019	0.902757
-0.511947	0.900754
-0.500856	0.89653
-0.493997	0.892251
-0.486303	0.890337
-0.470449	0.882706
-0.459238	0.879518
-0.44606	0.872729
-0.433227	0.86848
-0.415508	0.86075
-0.407921	0.857097
-0.397088	0.851618
-0.388161	0.848612
-0.385749	0.847168
-0.355033	0.832591
-0.341498	0.824354
-0.338719	0.824241
-0.317249	0.811965
-0.304059	0.805337
-0.286259	0.798183
-0.281272	0.794935
-0.273905	0.792592
-0.270422	0.788531
-0.260242	0.78362
-0.250489	0.777136
-0.244717	0.773119
-0.226192	0.763543
-0.218118	0.758352
-0.201335	0.748695
-0.198335	0.747447
-0.194177	0.744701
-0.192078	0.745964
-0.180903	0.736419
-0.171233	0.731427
-0.165638	0.728152
-0.151909	0.719032
-0.147467	0.718524
-0.145601	0.714553
-0.143412	0.711593
-0.131519	0.707247
-0.122515	0.701538
-0.109156	0.689531
-0.100153	0.6875
-0.099422	0.686231
-0.0845673	0.67634
-0.0824281	0.672428
-0.0695243	0.665446
-0.0552809	0.656906
-0.0463459	0.651664
-0.044033	0.649694
-0.0388505	0.647867
-0.0198661	0.633266
-0.0179141	0.629046
-0.00830859	0.625558
0.00227916	0.615069
0.00338547	0.614942
0.01222		0.609373
0.0165005	0.606221
0.0199728	0.602179
0.0280315	0.597404
0.0384658	0.592575
0.0423789	0.587619
0.053865	0.577854
0.056271	0.575026
0.0623401	0.570364
0.0660684	0.569909
0.0729369	0.565377
0.0731184	0.563787
0.116269	0.528338
0.144218	0.504714
0.155021	0.499005
0.165083	0.48788
0.170712	0.484969
0.175904	0.480312
0.181092	0.474499
0.19231		0.46797
0.199129	0.460313
0.203919	0.453182
0.214751	0.443207
0.218969	0.441121
0.222454	0.4408
0.232245	0.429935
0.23571		0.426974
0.236024	0.425434
0.240379	0.42065
0.265538	0.397173
0.275526	0.388516
0.278167	0.384874
0.294915	0.369826
0.299131	0.366409
0.310402	0.35458
0.335221	0.330631
0.340783	0.327466
0.347887	0.318894
0.369768	0.296378
0.375343	0.2907
0.39103		0.27263
0.410776	0.252841
0.427853	0.233896
0.45057		0.20934
0.462295	0.196615
0.465133	0.196173
0.476285	0.178112
0.498665	0.152907
0.499854	0.149897
0.503972	0.144812
0.504501	0.144518
0.512456	0.135383
0.523937	0.121829
0.544378	0.0935238
0.552052	0.086732
0.554292	0.0854569
0.557878	0.0805441
0.562536	0.0754984
0.568218	0.0663261
0.571919	0.0610669
0.581782	0.0490833
0.583556	0.045994
0.585595	0.0423205
0.595399	0.0335856
0.613692	0.00780744
0.628775	-0.0150226
0.634578	-0.0214473
0.644602	-0.0389007
#eof
